total_timesteps,n_updates,ep_len_mean,ep_reward_mean_agt1,ep_reward_mean_agt2,Environment Depth,ball_collision_agt1,ball_collision_agt2,no_side_agt1,no_side_agt2
499712.0,122.0,423.58,-3.43,-5.71,6.0,1.11,0.48,3.64,4.18
503808.0,123.0,425.91,-3.44,-5.71,6.0,1.11,0.47,3.44,4.52
507904.0,124.0,428.28,-3.41,-5.72,6.0,1.26,0.45,4.01,4.6
512000.0,125.0,425.08,-3.44,-5.75,6.0,1.19,0.39,3.64,4.83
516096.0,126.0,425.67,-3.39,-5.79,6.0,1.28,0.47,3.7,4.52
520192.0,127.0,424.31,-3.46,-5.74,6.0,1.3,0.48,3.64,4.34
524288.0,128.0,426.1,-3.36,-5.87,6.0,1.37,0.54,3.85,4.38
528384.0,129.0,425.02,-3.35,-5.87,6.0,1.3,0.6,3.7,4.42
532480.0,130.0,426.32,-3.31,-5.87,6.0,1.28,0.61,3.67,4.26
536576.0,131.0,426.48,-3.29,-5.89,6.0,1.21,0.63,3.49,4.28
540672.0,132.0,431.58,-3.21,-5.9,6.0,1.29,0.67,3.34,4.16
544768.0,133.0,429.26,-3.23,-5.91,6.0,1.26,0.65,3.09,4.06
548864.0,134.0,429.1,-3.31,-5.78,6.0,1.24,0.68,2.93,3.84
552960.0,135.0,427.77,-3.32,-5.8,6.0,1.3,0.67,2.88,3.91
557056.0,136.0,424.72,-3.28,-5.84,6.0,1.33,0.64,2.66,4.29
561152.0,137.0,425.05,-3.22,-5.87,6.0,1.26,0.64,2.76,4.77
565248.0,138.0,426.2,-3.26,-5.78,6.0,1.26,0.67,2.87,4.62
569344.0,139.0,424.59,-3.29,-5.77,6.0,1.24,0.58,2.76,4.9
573440.0,140.0,423.27,-3.25,-5.85,6.0,1.27,0.51,2.88,5.34
577536.0,141.0,423.34,-3.15,-5.95,6.0,1.36,0.49,2.85,6.12
581632.0,142.0,423.64,-3.1,-5.99,6.0,1.38,0.51,2.88,6.5
585728.0,143.0,422.48,-3.1,-6.0,6.0,1.36,0.51,2.96,6.17
589824.0,144.0,419.98,-3.1,-6.04,6.0,1.3,0.5,2.67,6.52
593920.0,145.0,423.53,-3.06,-6.04,6.0,1.31,0.52,2.74,6.75
598016.0,146.0,426.29,-3.01,-6.07,6.0,1.29,0.52,2.76,7.15
602112.0,147.0,426.62,-3.08,-6.01,6.0,1.31,0.54,2.64,7.19
606208.0,148.0,423.45,-3.04,-6.13,6.0,1.28,0.47,2.52,7.49
610304.0,149.0,425.54,-3.04,-6.11,6.0,1.34,0.54,2.59,8.75
614400.0,150.0,423.78,-3.11,-6.07,6.0,1.26,0.52,2.49,8.92
618496.0,151.0,422.42,-3.21,-5.97,6.0,1.18,0.54,2.51,8.73
622592.0,152.0,422.5,-3.24,-5.91,6.0,1.29,0.56,2.53,8.3
626688.0,153.0,422.41,-3.28,-5.88,6.0,1.23,0.55,2.46,8.86
630784.0,154.0,423.0,-3.29,-5.85,6.0,1.22,0.58,2.52,8.81
634880.0,155.0,418.98,-3.29,-5.89,6.0,1.16,0.59,2.68,9.1
638976.0,156.0,419.91,-3.46,-5.71,6.0,1.06,0.61,2.74,9.62
643072.0,157.0,424.08,-3.35,-5.74,6.0,1.05,0.65,2.62,10.2
